,sensor_4
0,1400.6
1,1403.14
2,1404.2
3,1401.87
4,1406.22
5,1398.37
6,1397.77
7,1400.97
8,1394.8
9,1400.46
10,1400.64
11,1400.15
12,1400.83
13,1399.16
14,1402.13
15,1404.5
16,1399.95
17,1396.12
18,1400.35
19,1405.23
20,1398.13
21,1400.57
22,1394.75
23,1398.81
24,1399.39
25,1396.07
26,1401.84
27,1399.13
28,1400.99
29,1396.08
30,1396.9
31,1400.36
32,1402.43
33,1400.48
34,1403.0
35,1405.54
36,1398.9
37,1399.5
38,1400.69
39,1401.77
40,1403.21
41,1401.38
42,1406.05
43,1401.2
44,1399.16
45,1401.27
46,1402.89
47,1399.16
48,1397.76
49,1403.62
50,1400.42
51,1395.57
52,1402.26
53,1401.2
54,1401.58
55,1400.76
56,1402.79
57,1397.99
58,1403.51
59,1403.07
60,1405.52
61,1399.54
62,1395.38
63,1400.11
64,1403.24
65,1399.52
66,1403.02
67,1404.42
68,1401.24
69,1402.78
70,1403.09
71,1406.81
72,1397.93
73,1401.48
74,1394.82
75,1398.94
76,1400.97
77,1404.1
78,1403.93
79,1393.58
80,1402.04
81,1399.17
82,1406.38
83,1406.6
84,1405.96
85,1403.56
86,1413.1
87,1406.09
88,1402.22
89,1412.93
90,1404.76
91,1400.77
92,1408.48
93,1404.94
94,1410.1
95,1395.16
96,1407.81
97,1404.56
98,1406.13
99,1411.35
100,1403.41
101,1403.42
102,1403.21
103,1406.25
104,1403.22
105,1404.45
106,1407.73
107,1399.47
108,1409.1
109,1401.27
110,1408.11
111,1401.84
112,1406.59
113,1402.97
114,1406.6
115,1401.99
116,1409.35
117,1409.34
118,1404.46
119,1407.68
120,1411.9
121,1413.97
122,1403.04
123,1402.28
124,1406.42
125,1418.5
126,1399.49
127,1407.06
128,1408.42
129,1412.25
130,1413.25
131,1405.76
132,1410.11
133,1402.67
134,1406.83
135,1404.39
136,1405.15
137,1413.34
138,1412.6
139,1408.36
140,1415.25
141,1413.42
142,1404.21
143,1405.76
144,1409.63
145,1408.82
146,1409.96
147,1411.89
148,1410.7
149,1409.22
150,1411.94
151,1420.83
152,1414.56
153,1416.07
154,1414.89
155,1421.23
156,1412.47
157,1410.09
158,1420.37
159,1418.08
160,1417.31
161,1423.48
162,1421.09
163,1416.76
164,1408.09
165,1422.37
166,1414.72
167,1415.7
168,1418.05
169,1417.41
170,1414.99
171,1413.73
172,1425.27
173,1422.58
174,1422.52
175,1422.73
176,1423.99
177,1424.65
178,1429.45
179,1417.14
180,1420.64
181,1426.62
182,1419.03
183,1432.52
184,1424.4
185,1426.3
186,1427.27
187,1422.78
188,1428.01
189,1425.95
190,1425.77
191,1427.2
192,1391.28
193,1393.13
194,1398.96
195,1396.08
196,1402.52
197,1396.76
198,1400.65
199,1395.39
200,1395.01
201,1394.86
202,1401.29
203,1401.9
204,1401.53
205,1395.46
206,1402.11
207,1393.46
208,1390.27
209,1400.25
210,1401.77
211,1394.38
212,1392.28
213,1397.67
214,1387.5
215,1398.67
216,1396.62
217,1392.3
218,1402.31
219,1397.45
220,1398.08
221,1395.07
222,1390.94
223,1391.11
224,1396.15
225,1394.24
226,1392.55
227,1397.13
228,1396.29
229,1397.75
230,1391.49
231,1398.38
232,1398.74
233,1392.13
234,1391.6
235,1398.69
236,1397.6
237,1392.6
238,1396.46
239,1397.95
240,1396.5
241,1399.78
242,1393.06
243,1401.66
244,1397.09
245,1405.33
246,1387.16
247,1388.97
248,1389.62
249,1389.91
250,1397.95
251,1396.84
252,1399.71
253,1401.66
254,1395.05
255,1401.46
256,1395.4
257,1394.01
258,1395.44
259,1399.27
260,1399.73
261,1397.3
262,1403.09
263,1393.85
264,1400.98
265,1396.13
266,1390.64
267,1399.66
268,1395.38
269,1394.24
270,1398.51
271,1394.0
272,1390.12
273,1402.78
274,1398.81
275,1402.26
276,1398.33
277,1399.12
278,1399.51
279,1398.17
280,1394.07
281,1405.34
282,1399.47
283,1399.17
284,1392.48
285,1395.39
286,1402.79
287,1399.59
288,1400.5
289,1401.08
290,1400.97
291,1402.72
292,1397.81
293,1407.05
294,1392.16
295,1397.31
296,1397.45
297,1402.62
298,1402.93
299,1396.25
300,1392.9
301,1398.47
302,1393.76
303,1397.2
304,1404.74
305,1397.05
306,1401.33
307,1398.39
308,1395.4
309,1400.99
310,1401.87
311,1394.39
312,1391.52
313,1405.27
314,1403.23
315,1399.26
316,1397.94
317,1403.41
318,1400.81
319,1397.34
320,1400.25
321,1409.98
322,1394.26
323,1398.78
324,1393.87
325,1406.2
326,1404.56
327,1402.67
328,1406.79
329,1398.95
330,1400.87
331,1403.14
332,1403.25
333,1401.27
334,1400.49
335,1401.21
336,1403.53
337,1405.09
338,1394.58
339,1398.3
340,1404.41
341,1393.74
342,1398.31
343,1400.9
344,1397.52
345,1413.28
346,1397.45
347,1399.13
348,1400.63
349,1404.68
350,1399.71
351,1409.72
352,1396.32
353,1401.23
354,1396.2
355,1405.5
356,1402.96
357,1394.26
358,1395.35
359,1404.01
360,1406.06
361,1405.93
362,1410.34
363,1398.26
364,1403.22
365,1403.24
366,1398.37
367,1405.47
368,1400.31
369,1404.39
370,1399.3
371,1402.27
372,1399.24
373,1406.61
374,1406.15
375,1408.13
376,1407.11
377,1404.35
378,1407.54
379,1402.72
380,1403.09
381,1405.73
382,1407.64
383,1404.07
384,1399.59
385,1404.64
386,1410.18
387,1408.59
388,1403.29
389,1402.91
390,1409.39
391,1406.28
392,1400.92
393,1408.72
394,1410.33
395,1404.01
396,1409.11
397,1411.14
398,1402.94
399,1407.93
400,1409.2
401,1396.99
402,1409.23
403,1406.43
404,1407.38
405,1402.21
406,1411.63
407,1408.68
408,1407.97
409,1412.7
410,1412.91
411,1406.68
412,1408.21
413,1411.66
414,1406.28
415,1414.63
416,1409.87
417,1408.9
418,1410.4
419,1406.88
420,1407.69
421,1412.71
422,1404.68
423,1411.66
424,1413.34
425,1412.07
426,1406.42
427,1410.66
428,1419.76
429,1413.73
430,1417.49
431,1406.54
432,1418.33
433,1408.71
434,1411.41
